  369.80  346.19  336.30  344.43  381.41  387.07  409.80  398.39  372.43  374.58
  389.85  386.20  365.37  358.83  384.27  416.61  413.08  421.20  424.29  439.99
  429.27  418.97  407.09  386.27  381.85  390.76  377.06  384.56  394.40  365.14
  389.54  402.59  411.40  416.18  425.18  406.65  433.41  447.34  413.34  404.35
  391.77  381.72  377.97  376.12  368.20  366.39  349.86  363.93  365.34  334.48
  315.03  336.98  351.38  364.81  340.50  327.50  313.56  308.77  310.35  337.50
  325.99  336.63  340.09  342.39  339.28  327.40  310.46  281.39  289.86  299.10
  301.49  292.89  297.08  308.11  330.94  340.28  358.27  358.81  350.83  340.84
  318.66  318.64  336.74  333.85  364.89  365.43  389.75  385.50  377.23  359.41
  330.45  319.80  316.35  331.27  333.71  343.78  322.62  317.12  338.09  351.87
  361.73  343.66  355.92  339.76  325.80  322.98  314.37  266.66  246.80  222.78
  199.27  200.05  217.75  174.83  165.26  175.92  173.32  171.07  168.09  172.10
  158.21  140.56  160.08  165.30  143.79
  365.67  338.44  352.11  356.79  379.39  400.96  397.56  384.21  371.74  372.75
  360.95  384.23  366.58  347.32  372.61  408.96  408.92  408.93  430.50  435.93
  420.94  403.24  397.73  386.89  370.22  374.88  364.83  372.36  386.31  369.62
  362.67  373.46  384.22  425.13  444.93  460.83  436.81  440.59  417.64  403.11
  395.69  401.42  397.80  395.12  369.96  349.19  329.34  345.54  333.65  313.25
  280.43  323.94  347.28  358.78  355.22  335.69  307.61  292.01  283.41  321.38
  325.11  301.41  333.57  320.14  328.98  341.14  324.87  305.76  302.62  299.25
  293.06  304.83  296.82  308.49  323.94  363.24  351.59  348.12  344.39  333.43
  320.09  307.70  344.89  360.15  367.72  379.99  376.54  360.88  318.95  330.07
  320.24  330.92  331.19  334.31  320.70  313.96  333.67  325.55  319.48  318.69
  323.72  343.72  334.70  331.54  333.95  328.08  303.48  273.67  248.16  220.06
  197.71  191.91  207.80  188.88  167.52  176.58  163.89  157.12  155.07  148.26
  147.25  137.13  132.85  135.93  134.06
  377.15  359.54  351.01  358.18  373.59  405.64  400.90  394.63  380.53  356.80
  364.22  370.62  366.06  370.68  406.31  398.70  429.11  421.66  438.01  439.13
  440.50  413.73  398.02  396.46  374.06  375.87  376.71  369.39  377.45  361.46
  355.91  378.62  386.15  417.44  458.05  468.40  482.15  452.52  422.56  446.91
  419.61  410.58  427.99  418.10  377.68  336.87  341.62  337.79  319.08  312.38
  309.29  297.08  329.97  349.26  363.26  334.63  320.34  291.82  281.63  334.11
  318.42  331.94  329.48  318.05  323.27  343.76  341.03  328.56  321.16  300.52
  296.91  320.59  343.63  362.94  347.19  346.23  352.27  348.03  347.77  342.79
  294.37  309.20  350.30  365.25  383.26  413.54  368.80  347.68  330.81  338.44
  324.71  307.57  329.49  341.70  326.84  325.75  325.84  336.77  319.63  310.26
  326.52  349.66  337.21  338.37  339.66  331.49  311.74  295.82  243.55  235.13
  224.06  198.51  190.01  170.62  172.62  175.15  179.73  170.96  153.22  132.72
  117.80  135.49  119.57  140.47  136.82
  365.13  378.83  367.18  357.01  359.77  370.17  368.84  378.53  354.74  370.34
  364.77  369.94  360.47  388.39  406.86  412.69  408.41  427.49  437.55  430.51
  434.64  413.67  413.59  382.19  379.10  371.45  362.94  362.56  375.41  368.23
  352.79  372.31  407.94  429.03  453.11  463.86  481.95  450.19  455.10  407.17
  425.78  396.48  411.85  413.69  402.04  381.55  350.16  352.46  338.08  324.93
  323.96  337.41  308.41  324.29  323.33  335.21  315.88  289.87  314.70  312.93
  350.41  353.48  346.30  331.39  341.49  354.56  355.65  319.93  313.74  300.74
  321.49  345.23  349.13  378.41  375.31  358.28  359.03  362.98  351.70  316.96
  316.55  337.86  345.60  355.66  380.24  390.15  377.83  357.49  342.55  347.57
  320.88  321.51  326.76  332.42  314.65  315.65  321.60  334.84  337.73  328.04
  361.43  350.91  361.06  349.39  354.39  325.79  296.67  296.11  284.88  240.15
  225.84  177.60  135.74  141.58  146.45  162.58  173.56  166.74  142.70  131.33
  132.54  126.04  136.76  135.89  148.57
  337.71  348.24  366.09  367.19  350.84  363.29  347.83  350.75  352.29  358.59
  350.50  351.41  372.73  390.30  392.60  401.16  415.28  413.78  403.84  416.01
  424.93  407.90  401.55  384.04  383.71  362.60  341.17  355.36  362.43  366.13
  346.72  382.05  392.91  430.72  438.22  442.84  452.79  452.03  435.20  429.74
  428.46  411.39  403.54  405.28  403.94  371.54  353.05  338.13  342.25  345.10
  341.10  353.44  337.71  318.86  308.93  324.97  297.77  268.62  293.77  306.53
  328.96  350.13  330.00  331.73  349.29  371.59  351.31  342.81  316.21  316.74
  326.92  339.57  349.71  356.18  351.06  356.52  370.24  340.15  329.01  336.68
  348.10  330.13  345.05  357.50  369.94  406.82  373.17  358.37  362.26  351.35
  329.22  305.80  294.45  307.87  307.96  302.45  302.00  324.74  350.17  344.61
  366.42  347.17  341.27  331.28  327.91  315.72  315.09  281.41  278.55  231.30
  216.04  191.20  153.16  129.63  142.76  149.84  154.83  145.93  121.41   84.67
  110.96  122.86  132.95  112.76  120.79
  337.28  364.63  377.72  380.79  368.92  357.03  342.92  368.51  353.50  354.84
  355.45  366.23  385.47  398.40  392.90  398.33  402.88  401.03  424.26  436.17
  418.05  389.43  395.63  391.46  362.71  367.14  376.08  360.62  379.65  360.58
  362.76  399.61  431.73  445.78  424.96  455.13  432.38  430.93  438.17  415.93
  424.97  421.54  420.44  437.01  419.59  398.21  376.02  372.41  366.33  369.74
  341.99  351.94  357.74  341.43  327.30  339.58  312.66  285.41  285.76  307.50
  340.69  361.87  352.62  336.20  352.52  377.08  371.62  341.94  341.22  364.76
  362.95  371.33  377.89  367.06  348.78  356.39  369.39  359.41  336.17  361.72
  378.81  358.44  371.93  386.37  379.68  402.72  393.73  392.47  381.02  351.74
  340.44  311.86  318.83  323.20  316.19  286.87  305.85  345.92  355.84  371.14
  371.00  365.14  374.70  328.79  311.44  305.58  317.08  295.12  287.59  246.06
